model,invoice_quantity,invoice_unit_cost,retail_price,photo_count,photo_status,photo_files
8940-1,2,7.25,34.99,3,OK (3),8940-1 (1).jpg | 8940-1 (2).jpg | 8940-1 (3).jpg
8940-5,2,7.25,34.99,3,OK (3),8940-5 (1).jpg | 8940-5 (2).jpg | 8940-5 (3).jpg
8936-1,2,4.50,34.99,3,OK (3),8936-1 (1).jpg | 8936-1 (2).jpg | 8936-1 (3).jpg
8934-2,2,4.50,34.99,3,OK (3),8934-2 (1).jpg | 8934-2 (2).jpg | 8934-2 (3).jpg
8934-9,2,4.50,34.99,3,OK (3),8934-9 (1).jpg | 8934-9 (2).jpg | 8934-9 (3).jpg
7826M-4,2,3.65,34.99,3,OK (3),7826M-4 (1).jpg | 7826M-4 (2).jpg | 7826M-4 (3).jpg
8961-1,2,5.50,34.99,3,OK (3),8961-1 (1).jpg | 8961-1 (2).jpg | 8961-1 (3).jpg
8961-2,2,5.50,34.99,3,OK (3),8961-2 (1).jpg | 8961-2 (2).jpg | 8961-2 (3).jpg
8960-1,2,5.50,34.99,3,OK (3),8960-1 (1).jpg | 8960-1 (2).jpg | 8960-1 (3).jpg
8960-8,2,5.50,34.99,3,OK (3),8960-8 (1).jpg | 8960-8 (2).jpg | 8960-8 (3).jpg
8938-1,2,4.50,34.99,3,OK (3),8938-1-3.jpg | 8938-1.jpg | 8938-1.jpg-2.jpg
8902-1,2,4.50,34.99,3,OK (3),8902-1 (1).jpg | 8902-1 (2).jpg | 8902-1 (3).jpg
8947-1,2,4.50,34.99,3,OK (3),8947-1.JPG | 8947-1a.JPG | 8947-1b.JPG
8918-3,2,4.50,34.99,3,OK (3),8918-3.JPG | 8918-3a.JPG | 8918-3b.JPG
8918-10,2,4.50,34.99,3,OK (3),8918-10.JPG | 8918-10a.JPG | 8918-10b.JPG
8949-1,2,4.50,34.99,3,OK (3),8949-1.JPG | 8949-1a.JPG | 8949-1c.JPG
8949-2,2,4.50,34.99,3,OK (3),8949-2.JPG | 8949-2a.JPG | 8949-2b.JPG
8943-1,2,4.50,34.99,3,OK (3),8943-1.jpg | 8943-1a.jpg | 8943-1b.jpg
8907-1,2,4.75,34.99,4,REVIEW (4),8907-1.jpg | 8907-1a.jpg | 8907-1b.jpg | 8907-1c.jpg
8911-1,2,4.75,34.99,3,OK (3),8911-1.jpg | 8911-1a.jpg | 8911-1b.jpg
8915-3,2,4.75,34.99,5,REVIEW (5),8915-3.jpg | 8915-3a.jpg | 8915-3b.jpg | 8915-3c.jpg | 8915-3d.jpg
8667-1,2,7.10,34.99,3,OK (3),8667-1-1.jpg | 8667-1-2.jpg | 8667-1.jpg
8657-1,2,7.55,34.99,3,OK (3),8657-1 (1).jpg | 8657-1 (2).jpg | 8657-1 (3).jpg
8625-1,2,8.95,34.99,3,OK (3),8625-1 (1).jpg | 8625-1 (2).jpg | 8625-1 (3).jpg
8621-2,2,5.50,34.99,3,OK (3),8621-2 (1).jpg | 8621-2 (2).jpg | 8621-2 (3).jpg
8613-4,2,5.60,34.99,3,OK (3),8613-4 (1).jpg | 8613-4 (2).jpg | 8613-4 (3).jpg
8605-2,2,7.95,34.99,3,OK (3),8605-2.jpg | 8605-2a.jpg | 8605-2b.jpg
8611-11,2,8.75,34.99,3,OK (3),8611-11 (1).jpg | 8611-11 (2).jpg | 8611-11 (3).jpg
8605-1,2,7.95,34.99,3,OK (3),8605-1.jpg | 8605-1a.jpg | 8605-1b.jpg
A1439-1,2,7.95,34.99,3,OK (3),A1439-1.jpg | A1439-1a.jpg | A1439-1b.jpg
8058-1,2,7.55,34.99,5,REVIEW (5),8058-1.jpg | 8058-1a.jpg | 8058-1b.jpg | 8058-1c.jpg | 8058-1d.jpg
883301S-C01,2,8.95,34.99,1,MISSING 2,883301S.jpg
882281S-C01,2,8.95,34.99,5,REVIEW (5),882281S (1).jpg | 882281S (2).jpg | 882281S (3).jpg | 882281S (4).jpg | 882281S (5).jpg
